,product,reviews_number,title,positive,negative,neutral,positive_percent,negative_percent,neutral_percent
871,B01N216CIO,26,Divide,18.0,7.0,1.0,0.6923076923076923,0.2692307692307692,0.038461538461538464
872,B01N2NOOSR,276,Kingdom Hearts HD 1.5 + 2.5: ReMIX - PlayStation 4,262.0,6.0,8.0,0.9492753623188406,0.021739130434782608,0.028985507246376812
873,B01N2WY9UU,19,Orange County California,18.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
874,B01N3374BH,25,Nintendo Joy-Con Charging Grip per Nintendo Switch,21.0,2.0,2.0,0.84,0.08,0.08
875,B01N3B8KVR,3,The Elder Scrolls Online: Morrowind - Day-One - PlayStation 4,0.0,2.0,1.0,0.0,0.6666666666666666,0.3333333333333333
876,B01N42EDSM,229,Animali Fantastici e Dove Trovarli,202.0,11.0,16.0,0.8820960698689956,0.048034934497816595,0.06986899563318777
877,B01N468FYS,107,Xbox One: Controller Bluetooth + Cavo per PC,90.0,14.0,3.0,0.8411214953271028,0.1308411214953271,0.028037383177570093
878,B01N4ND1T2,147,Nintendo Switch: Pro Controller,134.0,6.0,7.0,0.9115646258503401,0.04081632653061224,0.047619047619047616
879,B01N5OORGV,90,Set da due Joy-Con Blu/Rosso Neon,79.0,5.0,6.0,0.8777777777777778,0.05555555555555555,0.06666666666666667
880,B01N5OPMJW,398,Nintendo Switch - Blu/Rosso Neon,356.0,30.0,12.0,0.8944723618090452,0.07537688442211055,0.03015075376884422
881,B01N5SSWKU,4,You Never Walk Alone,1.0,2.0,1.0,0.25,0.5,0.25
882,B01N74MRF1,12,Xdvr Reloaded,11.0,1.0,0.0,0.9166666666666666,0.08333333333333333,0.0
883,B01N7QUSQ3,439,The Legend of Zelda: Breath of the Wild - Nintendo Switch,432.0,1.0,6.0,0.9840546697038725,0.002277904328018223,0.01366742596810934
884,B01N7RIIR2,69,Nintendo Switch: Coppia di Volanti Joy-Con,64.0,2.0,3.0,0.927536231884058,0.028985507246376812,0.043478260869565216
885,B01N7V6SY4,18,Il viaggio di Arlo,16.0,2.0,0.0,0.8888888888888888,0.1111111111111111,0.0
886,B01NAICX0F,161,Rogue One: A Star Wars Story,153.0,1.0,7.0,0.9503105590062112,0.006211180124223602,0.043478260869565216
